Pokemon Name,First Type,Second Type,Third Type,Attack,Defense,HP,Sp. Attack,Sp. Defense
Hitmontop,Fighting,NULL,NULL,95,95,50,35,110
Smoochum,Ice,Psychic,NULL,30,15,45,85,65
Elekid,Electric,NULL,NULL,63,37,45,65,55
Magby,Fire,NULL,NULL,75,37,45,83,55
Miltank,Normal,NULL,NULL,80,105,95,40,70
Blissey,Normal,NULL,NULL,10,10,255,75,135
Raikou,Electric,NULL,NULL,85,75,90,115,100
Entei,Fire,NULL,NULL,115,85,115,90,75
Suicune,Water,NULL,NULL,75,115,100,90,115
Larvitar,Rock,Ground,NULL,64,50,50,45,50
Pupitar,Rock,Ground,NULL,84,70,70,65,70
Tyranitar,Rock,Dark,NULL,134,110,100,95,100
Lugia,Psychic,Flying,NULL,90,130,106,90,154
Ho-Oh,Fire,Flying,NULL,130,90,106,110,154
Celebi,Psychic,Grass,NULL,100,100,100,100,100

